url,city,deal_type,object_type,rooms,floor,floors_total,area_m2,price,currency,price_per_m2,creation_date,images_folder_url,urgent_tag
https://edc.sale/ru/ekaterinburg/real-estate/sale/apartments/1/1-komn-kv-42-m2-116-etazh-2135260.html,Ekaterinburg,sell,apartments,1.0,1.0,16.0,42.0,4000000.0,RUB,95238.09523809524,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/lobna/real-estate/rent/one-day/rooms/sdajetsa-apartamenty-v-otele--2135539.html,Lobna,rent,rooms,,,,,2600.0,RUB,,20.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/rostov-na-donu/real-estate/sale/houses/dom-1-et-466-m2-7-sot-2135531.html,Rostov Na Donu,sell,houses,,,1.0,46.6,4000000.0,RUB,85836.90987124463,20.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/novosibirsk/real-estate/rent/apartments/2/2-komn-kv-68-m2-810-etazh-2135513.html,Novosibirsk,rent,apartments,2.0,8.0,10.0,68.0,60000.0,RUB,882.3529411764706,20.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/labinsk/real-estate/commercial/sale/other/prodajotsa-baza-2135502.html,Labinsk,sell,other,,,,500.0,19000000.0,RUB,38000.0,19.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/rostov-na-donu/real-estate/sale/houses/dom-1-et-82-m2-135-sot-2135499.html,Rostov Na Donu,sell,houses,,,1.0,82.0,13000000.0,RUB,158536.58536585365,19.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/saratov/real-estate/sale/land/prodam-22-ga-pervaja-linija-ot-volgi-s-ust-kurdum-2135474.html,Saratov,sell,land,,,,22000.0,1100000.0,RUB,50.0,19.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/saratov/real-estate/sale/land/srochno-prodam-uchastok-17-ga-s-ust-kurdum-2135436.html,Saratov,sell,land,,,,17000.0,700000.0,RUB,41.1764705882353,19.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/moskva/real-estate/sale/apartments/1/1-komn-kv-385-m2-712-etazh-2135427.html,Moskva,sell,apartments,1.0,7.0,12.0,38.5,7600000.0,RUB,197402.5974025974,19.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/agalatovo/real-estate/sale/apartments/2/2-komn-kv-557-m2-13-etazh-2135390.html,Agalatovo,sell,apartments,2.0,1.0,3.0,55.7,7500000.0,RUB,134649.91023339317,19.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/lipeck/real-estate/sale/houses/dom-1-et-100-m2-10-sot-2135353.html,Lipeck,sell,houses,,,1.0,100.0,4500000.0,RUB,45000.0,18.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/ufa/real-estate/rent/apartments/1/1-komn-kv-39-m2-1425-etazh-2135319.html,Ufa,rent,apartments,1.0,14.0,25.0,39.0,28000.0,RUB,717.9487179487179,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/rostov-na-donu/real-estate/rent/apartments/1/1-komn-kv-38-m2-1124-etazh-2135317.html,Rostov Na Donu,rent,apartments,1.0,11.0,24.0,38.0,27000.0,RUB,710.5263157894736,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/sankt-peterburg/real-estate/rent/apartments/1/1-komn-kv-36-m2-812-etazh-2135314.html,Sankt Peterburg,rent,apartments,1.0,8.0,12.0,36.0,22000.0,RUB,611.1111111111111,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/moskva/real-estate/rent/apartments/1/1-komn-kv-42-m2-914-etazh-2135313.html,Moskva,rent,apartments,1.0,9.0,14.0,42.0,40000.0,RUB,952.3809523809524,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/sankt-peterburg/real-estate/sale/houses/dom-1-et-75-m2-7-sot-2135246.html,Sankt Peterburg,sell,houses,,,1.0,75.0,4900000.0,RUB,65333.333333333336,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/alushta/real-estate/sale/houses/dom-1-et-48-m2-011-sot-2135241.html,Alushta,sell,houses,,,1.0,48.0,12500000.0,RUB,260416.66666666666,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/orenburg/real-estate/commercial/sale/other/prodajetsa-gotovyj-arendnyj-biznes-2135238.html,Orenburg,sell,other,,2.0,4.0,1446.2,66000000.0,RUB,45636.841377402845,18.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/pushkino/real-estate/sale/apartments/2/2-komn-kv-589-m2-1922-etazh-2135159.html,Pushkino,sell,apartments,2.0,19.0,22.0,58.9,9649000.0,RUB,163820.0339558574,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/sankt-peterburg/real-estate/commercial/sale/shop/dejstvujushhij-gab-s-magnitom-2135169.html,Sankt Peterburg,sell,shop,,1.0,,215.0,90000000.0,RUB,418604.6511627907,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/sankt-peterburg/real-estate/sale/apartments/2/2-komn-kv-794-m2-1217-etazh-2135164.html,Sankt Peterburg,sell,apartments,2.0,12.0,17.0,79.4,24500000.0,RUB,308564.2317380352,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/dzerzhinsk/real-estate/sale/land/uchastok-zemli-v-dzerzhinske-sanatornogo-naznachenija-546-ga-2135162.html,Dzerzhinsk,sell,land,,,,1450.0,85000000.0,RUB,58620.68965517241,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/sankt-peterburg/real-estate/sale/apartments/2/2-komn-kv-422-m2-14-etazh-2135151.html,Sankt Peterburg,sell,apartments,2.0,1.0,4.0,42.2,4800000.0,RUB,113744.07582938387,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/tomsk/real-estate/rent/apartments/1/1-komn-kv-39-m2-59-etazh-2135139.html,Tomsk,rent,apartments,1.0,5.0,9.0,39.0,28000.0,RUB,717.9487179487179,17.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/moskva/real-estate/rent/houses/sdajetsa-roskoshnyj-domik-v-ramenskom-rajone-2135136.html,Moskva,rent,houses,,,,364.9,150000.0,RUB,411.07152644560153,17.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/gubkinskij/real-estate/rent/apartments/2/2-komn-kv-62-m2-22-etazh-2135124.html,Gubkinskij,rent,apartments,2.0,2.0,2.0,62.0,45000.0,RUB,725.8064516129032,17.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/razan/real-estate/sale/houses/dom-1-et-96-m2-8-sot-2135121.html,Razan,sell,houses,,,1.0,96.0,9700000.0,RUB,101041.66666666667,17.09.2025,https://edc.sale/files/images/items/2135/,True
https://edc.sale/ru/volokolamsk/real-estate/rent/one-day/houses/dom-s-kupelju-i-banej-2135106.html,Volokolamsk,rent,houses,,,,,10.0,RUB,,17.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/barnaul/real-estate/sale/houses/dom-2-et-200-m2-10-sot-2135085.html,Barnaul,sell,houses,,,2.0,200.0,6150000.0,RUB,30750.0,17.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/dzerzhinsk/real-estate/rent/apartments/2/2-komn-kv-48-m2-35-etazh-2135037.html,Dzerzhinsk,rent,apartments,2.0,3.0,5.0,48.0,29000.0,RUB,604.1666666666666,16.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/krasnodar/real-estate/sale/houses/dom-2-et-75-m2-3-sot-2135036.html,Krasnodar,sell,houses,,,2.0,75.0,9500000.0,RUB,126666.66666666667,16.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/nizhnij-novgorod/real-estate/rent/apartments/3/3-komn-kv-63-m2-69-etazh-2135030.html,Nizhnij Novgorod,rent,apartments,3.0,6.0,9.0,63.0,44000.0,RUB,698.4126984126984,16.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/petrozavodsk/real-estate/rent/one-day/houses/dom-u-reki-2135024.html,Petrozavodsk,rent,houses,,,,,6500.0,RUB,,16.09.2025,https://edc.sale/files/images/items/2135/,False
https://edc.sale/ru/ufa/real-estate/sale/houses/dom-2-et-200-m2-45-sot-2134936.html,Ufa,sell,houses,,,2.0,200.0,36000000.0,RUB,180000.0,16.09.2025,https://edc.sale/files/images/items/2134/,True
https://edc.sale/ru/miass/real-estate/sale/houses/dom-2-et-130-m2-10-sot-2134943.html,Miass,sell,houses,,,2.0,130.0,16500000.0,RUB,126923.07692307692,16.09.2025,https://edc.sale/files/images/items/2134/,False
https://edc.sale/ru/petrozavodsk/real-estate/rent/one-day/houses/dom-na-beregu-reki-2134942.html,Petrozavodsk,rent,houses,,,,,8500.0,RUB,,16.09.2025,https://edc.sale/files/images/items/2134/,False
